Title,Category,Priority,Status,Description,Effort,Dependencies,Source,Project,Due Date,Created
AI Market Analysis Reports,AI/Automation,P1-High,to_do,"Weekly AI-generated market analysis with trends, predictions, and insights",high,Claude API,Improvements.csv,Bitcoin Investments,,
AI Portfolio Recommendations,AI/Automation,P2-Medium,to_do,Personalized portfolio suggestions based on risk tolerance and goals,high,"Claude API, Portfolio data",Improvements.csv,Bitcoin Investments,,
AI News Summarizer,AI/Automation,P2-Medium,to_do,Summarize crypto news articles into key points using AI,medium,"Claude API, CryptoCompare",Improvements.csv,Bitcoin Investments,,
AI Chatbot Assistant,AI/Automation,P1-High,to_do,Interactive chatbot for crypto education and platform help,high,Claude API,Improvements.csv,Bitcoin Investments,,
Automated Content Calendar,AI/Automation,P2-Medium,to_do,"AI-generated content schedule with topics, keywords, and posting times",medium,Claude API,Improvements.csv,Bitcoin Investments,,
AI-Powered Price Predictions,AI/Automation,P3-Low,to_do,Machine learning based price trend predictions with confidence scores,high,"Claude API, Historical data",Improvements.csv,Bitcoin Investments,,
Automated Newsletter Generation,AI/Automation,P1-High,to_do,AI-written weekly newsletters with personalized content per user segment,medium,"Claude API, Resend",Improvements.csv,Bitcoin Investments,,
AI Glossary Expansion,AI/Automation,P3-Low,to_do,Use AI to generate additional glossary terms and improve definitions,low,Claude API,Improvements.csv,Bitcoin Investments,,
AI-Generated Learning Paths,AI/Automation,P2-Medium,to_do,Personalized learning curriculum based on user's experience level,medium,Claude API,Improvements.csv,Bitcoin Investments,,
Video Tutorial Library,Knowledgebase,P1-High,to_do,Create comprehensive video tutorials for all platform features and crypto education,high,Video hosting (YouTube/Vimeo),Improvements.csv,Bitcoin Investments,,
Interactive Learning Quizzes,Knowledgebase,P2-Medium,to_do,Add quizzes at end of each guide to test understanding,medium,,Improvements.csv,Bitcoin Investments,,
Beginner's Complete Course,Knowledgebase,P1-High,to_do,Multi-module structured course from zero to confident investor,high,,Improvements.csv,Bitcoin Investments,,
Advanced Trading Strategies Guide,Knowledgebase,P2-Medium,to_do,"Detailed guides on DCA variations, rebalancing, and risk management",medium,,Improvements.csv,Bitcoin Investments,,
DeFi Explained Series,Knowledgebase,P2-Medium,to_do,"Complete guide series covering DeFi protocols, yield farming, and risks",high,,Improvements.csv,Bitcoin Investments,,
NFT Investing Guide,Knowledgebase,P3-Low,to_do,"Comprehensive guide to NFT evaluation, buying, and selling",medium,,Improvements.csv,Bitcoin Investments,,
Crypto Tax Guide by Country,Knowledgebase,P1-High,to_do,"Detailed tax guides for US, UK, Canada, Australia, and EU",high,,Improvements.csv,Bitcoin Investments,,
Security Best Practices Guide,Knowledgebase,P0-Critical,to_do,Complete guide to securing crypto assets and avoiding scams,medium,,Improvements.csv,Bitcoin Investments,,
Case Studies Section,Knowledgebase,P2-Medium,to_do,Real investor stories with lessons learned (anonymized),medium,,Improvements.csv,Bitcoin Investments,,
Crypto Scam Database,Knowledgebase,P2-Medium,to_do,Searchable database of known scams and red flags,high,,Improvements.csv,Bitcoin Investments,,
Weekly Market Analysis Articles,Knowledgebase,P1-High,to_do,Regular market updates and analysis posts,ongoing,AI/Automation,Improvements.csv,Bitcoin Investments,,
Podcast/Audio Content,Knowledgebase,P3-Low,to_do,Audio versions of guides and market updates,high,Audio hosting,Improvements.csv,Bitcoin Investments,,
Full Admin Dashboard,Site Admin,P0-Critical,to_do,Comprehensive admin panel for managing all site aspects,high,Role-based access,Improvements.csv,Bitcoin Investments,,
User Management System,Site Admin,P0-Critical,to_do,"Admin interface to view, edit, suspend, and manage user accounts",high,Admin Dashboard,Improvements.csv,Bitcoin Investments,,
Content Management System,Site Admin,P1-High,to_do,"Admin interface for creating, editing, and scheduling blog posts and guides",high,Admin Dashboard,Improvements.csv,Bitcoin Investments,,
Analytics Dashboard,Site Admin,P1-High,to_do,"Internal analytics showing user engagement, popular content, and conversions",high,Admin Dashboard,Improvements.csv,Bitcoin Investments,,
Subscription Management Admin,Site Admin,P1-High,to_do,"View and manage all subscriptions, issue refunds, extend trials",medium,"Admin Dashboard, Stripe",Improvements.csv,Bitcoin Investments,,
Email Campaign Manager,Site Admin,P2-Medium,to_do,Admin interface for creating and sending email campaigns,high,"Admin Dashboard, Resend",Improvements.csv,Bitcoin Investments,,
Ad Campaign Reporting,Site Admin,P2-Medium,to_do,Enhanced ad analytics with ROI calculations and advertiser reports,medium,Existing Ad Manager,Improvements.csv,Bitcoin Investments,,
Affiliate Management Admin,Site Admin,P2-Medium,to_do,"Manage affiliate links, payouts, and partner relationships",medium,Admin Dashboard,Improvements.csv,Bitcoin Investments,,
Site Configuration Panel,Site Admin,P2-Medium,to_do,"Manage site settings, feature flags, and maintenance mode",medium,Admin Dashboard,Improvements.csv,Bitcoin Investments,,
Support Ticket System,Site Admin,P2-Medium,to_do,Internal system for managing user support requests,high,Admin Dashboard,Improvements.csv,Bitcoin Investments,,
Role-Based Access Control,Site Admin,P1-High,to_do,"Define admin roles (super admin, content editor, support, etc.)",medium,Admin Dashboard,Improvements.csv,Bitcoin Investments,,
Backup and Recovery System,Site Admin,P0-Critical,to_do,Automated database backups with point-in-time recovery,medium,Supabase,Improvements.csv,Bitcoin Investments,,
Interactive Onboarding Tour,Onboarding,P0-Critical,to_do,Step-by-step guided tour of platform features for new users,medium,,Improvements.csv,Bitcoin Investments,,
User Experience Level Assessment,Onboarding,P1-High,to_do,Quiz to determine user's crypto knowledge and customize experience,medium,,Improvements.csv,Bitcoin Investments,,
Goal Setting Wizard,Onboarding,P1-High,to_do,Help users define investment goals and risk tolerance during signup,medium,,Improvements.csv,Bitcoin Investments,,
Quick Start Checklist,Onboarding,P1-High,to_do,Gamified checklist of actions to complete for new users,low,,Improvements.csv,Bitcoin Investments,,
Welcome Email Sequence,Onboarding,P1-High,to_do,Automated email series educating new users over first 7 days,medium,Resend,Improvements.csv,Bitcoin Investments,,
Sample Portfolio Templates,Onboarding,P2-Medium,to_do,Pre-built portfolio examples for different investment strategies,low,,Improvements.csv,Bitcoin Investments,,
Personalized Dashboard Setup,Onboarding,P2-Medium,to_do,Wizard to customize dashboard widgets and preferences,medium,,Improvements.csv,Bitcoin Investments,,
Progress Tracking System,Onboarding,P2-Medium,to_do,Show users their learning and investing progress over time,medium,,Improvements.csv,Bitcoin Investments,,
Contextual Help Tooltips,Onboarding,P2-Medium,to_do,In-app tooltips explaining features and terminology,medium,,Improvements.csv,Bitcoin Investments,,
First Investment Guide Modal,Onboarding,P2-Medium,to_do,Pop-up guide when user first adds to portfolio,low,,Improvements.csv,Bitcoin Investments,,
Code Splitting Implementation,Performance,P0-Critical,to_do,Split code by routes and features for faster initial load,medium,Vite,Improvements.csv,Bitcoin Investments,,
Lazy Loading for Components,Performance,P1-High,to_do,Implement React.lazy() for non-critical components,medium,,Improvements.csv,Bitcoin Investments,,
Image Optimization Pipeline,Performance,P1-High,to_do,"WebP conversion, responsive images, and lazy loading",medium,,Improvements.csv,Bitcoin Investments,,
API Response Caching,Performance,P1-High,to_do,Implement smart caching for CoinGecko and other API responses,medium,,Improvements.csv,Bitcoin Investments,,
Service Worker for Offline,Performance,P2-Medium,to_do,PWA capabilities with offline access to cached content,high,,Improvements.csv,Bitcoin Investments,,
Database Query Optimization,Performance,P2-Medium,to_do,Review and optimize Supabase queries with proper indexing,medium,Supabase,Improvements.csv,Bitcoin Investments,,
CDN Asset Optimization,Performance,P2-Medium,to_do,Optimize static asset delivery through Cloudflare CDN,low,Cloudflare,Improvements.csv,Bitcoin Investments,,
Bundle Size Analysis,Performance,P2-Medium,to_do,Regular bundle analysis and tree-shaking improvements,low,Vite,Improvements.csv,Bitcoin Investments,,
Prefetching Critical Data,Performance,P3-Low,to_do,Prefetch likely-needed data based on user behavior,medium,,Improvements.csv,Bitcoin Investments,,
Virtual Scrolling for Lists,Performance,P3-Low,to_do,Implement virtualization for long cryptocurrency lists,medium,react-window,Improvements.csv,Bitcoin Investments,,
Unit Test Suite,Testing,P0-Critical,to_do,Comprehensive unit tests for all services and utilities,high,Jest/Vitest,Improvements.csv,Bitcoin Investments,,
Integration Test Suite,Testing,P1-High,to_do,Test API integrations and database operations,high,Testing framework,Improvements.csv,Bitcoin Investments,,
End-to-End Test Suite,Testing,P1-High,to_do,Full user flow testing with Playwright or Cypress,high,Playwright/Cypress,Improvements.csv,Bitcoin Investments,,
Component Testing,Testing,P2-Medium,to_do,Visual and functional tests for React components,medium,Testing framework,Improvements.csv,Bitcoin Investments,,
API Contract Testing,Testing,P2-Medium,to_do,Validate external API responses match expected schemas,medium,,Improvements.csv,Bitcoin Investments,,
Load Testing,Testing,P2-Medium,to_do,Performance testing under various load conditions,medium,k6/Artillery,Improvements.csv,Bitcoin Investments,,
Security Testing,Testing,P1-High,to_do,Automated security scanning and penetration testing,medium,OWASP ZAP,Improvements.csv,Bitcoin Investments,,
Accessibility Testing,Testing,P2-Medium,to_do,Automated a11y testing with manual verification,medium,axe-core,Improvements.csv,Bitcoin Investments,,
Cross-Browser Testing,Testing,P2-Medium,to_do,"Test on Chrome, Firefox, Safari, Edge",low,BrowserStack,Improvements.csv,Bitcoin Investments,,
Mobile Device Testing,Testing,P2-Medium,to_do,Test on various mobile devices and screen sizes,medium,,Improvements.csv,Bitcoin Investments,,
Plausible Analytics Integration,Analytics,P1-High,to_do,Privacy-focused analytics for user behavior tracking,low,,Improvements.csv,Bitcoin Investments,,
Conversion Funnel Tracking,Analytics,P1-High,to_do,Track user journey from landing to subscription,medium,Analytics platform,Improvements.csv,Bitcoin Investments,,
Error Tracking (Sentry),Analytics,P0-Critical,to_do,Real-time error monitoring and alerting,low,Sentry,Improvements.csv,Bitcoin Investments,,
User Behavior Heatmaps,Analytics,P2-Medium,to_do,Visual heatmaps of user clicks and scrolls,low,Hotjar/Clarity,Improvements.csv,Bitcoin Investments,,
A/B Testing Framework,Analytics,P2-Medium,to_do,Test different UI variations and measure impact,medium,,Improvements.csv,Bitcoin Investments,,
Custom Event Tracking,Analytics,P2-Medium,to_do,Track specific user actions for product insights,medium,Analytics platform,Improvements.csv,Bitcoin Investments,,
Revenue Analytics Dashboard,Analytics,P1-High,to_do,"Track MRR, churn, LTV, and other business metrics",medium,"Stripe, Analytics",Improvements.csv,Bitcoin Investments,,
SEO Performance Tracking,Analytics,P2-Medium,to_do,"Monitor rankings, organic traffic, and SEO health",low,Google Search Console,Improvements.csv,Bitcoin Investments,,
Email Campaign Analytics,Analytics,P2-Medium,to_do,"Track open rates, click rates, and conversions",low,Resend,Improvements.csv,Bitcoin Investments,,
Affiliate Performance Analytics,Analytics,P2-Medium,to_do,Detailed tracking of affiliate conversions and revenue,medium,,Improvements.csv,Bitcoin Investments,,
Community Forum,Community,P1-High,to_do,Discussion forum for users to share strategies and ask questions,high,Discourse/Custom,Improvements.csv,Bitcoin Investments,,
Q&A Section,Community,P2-Medium,to_do,Stack Overflow-style Q&A for crypto questions,high,,Improvements.csv,Bitcoin Investments,,
User Reviews and Ratings,Community,P2-Medium,to_do,"Allow users to rate and review exchanges, wallets, etc.",medium,,Improvements.csv,Bitcoin Investments,,
Social Sharing Features,Community,P2-Medium,to_do,"Easy sharing of charts, portfolios, and achievements",low,,Improvements.csv,Bitcoin Investments,,
Leaderboards,Community,P3-Low,to_do,Gamified leaderboards for learning progress and engagement,medium,,Improvements.csv,Bitcoin Investments,,
User Profiles (Public),Community,P3-Low,to_do,Optional public profiles showing badges and achievements,medium,,Improvements.csv,Bitcoin Investments,,
Discord/Telegram Integration,Community,P2-Medium,to_do,Official community channels with bot integrations,medium,Discord/Telegram API,Improvements.csv,Bitcoin Investments,,
Referral Program Automation,Community,P2-Medium,to_do,Automated referral tracking and reward distribution,medium,,Improvements.csv,Bitcoin Investments,,
Expert Contributor Program,Community,P3-Low,to_do,Allow verified experts to contribute content,high,,Improvements.csv,Bitcoin Investments,,
Live Chat Support,Community,P2-Medium,to_do,Real-time chat support for premium users,medium,Intercom/Crisp,Improvements.csv,Bitcoin Investments,,
ARIA Labels Implementation,Accessibility,P1-High,to_do,Add proper ARIA labels to all interactive elements,medium,,Improvements.csv,Bitcoin Investments,,
Keyboard Navigation,Accessibility,P1-High,to_do,Full keyboard accessibility for all features,medium,,Improvements.csv,Bitcoin Investments,,
Color Contrast Improvements,Accessibility,P1-High,to_do,Ensure WCAG AA contrast ratios throughout,low,,Improvements.csv,Bitcoin Investments,,
Focus Indicators,Accessibility,P2-Medium,to_do,Clear visible focus states for all interactive elements,low,,Improvements.csv,Bitcoin Investments,,
Skip Navigation Links,Accessibility,P2-Medium,to_do,Add skip links for screen reader users,low,,Improvements.csv,Bitcoin Investments,,
Alt Text for All Images,Accessibility,P2-Medium,to_do,Descriptive alt text for all images and charts,medium,,Improvements.csv,Bitcoin Investments,,
Reduced Motion Support,Accessibility,P3-Low,to_do,Respect prefers-reduced-motion preference,low,,Improvements.csv,Bitcoin Investments,,
Screen Reader Testing,Accessibility,P2-Medium,to_do,"Regular testing with NVDA, VoiceOver, JAWS",ongoing,,Improvements.csv,Bitcoin Investments,,
Mobile-Responsive Improvements,UX/UI,P1-High,to_do,Enhance mobile experience across all pages,medium,,Improvements.csv,Bitcoin Investments,,
Dark Mode Improvements,UX/UI,P2-Medium,to_do,Polish dark mode with proper contrast and consistency,medium,,Improvements.csv,Bitcoin Investments,,
Loading State Improvements,UX/UI,P2-Medium,to_do,Better loading skeletons and progress indicators,low,,Improvements.csv,Bitcoin Investments,,
Error State Improvements,UX/UI,P2-Medium,to_do,User-friendly error messages with recovery actions,medium,,Improvements.csv,Bitcoin Investments,,
Empty State Designs,UX/UI,P2-Medium,to_do,Helpful empty states with CTAs for new users,low,,Improvements.csv,Bitcoin Investments,,
Micro-Interactions,UX/UI,P3-Low,to_do,Subtle animations for feedback and delight,medium,,Improvements.csv,Bitcoin Investments,,
Consistent Icon System,UX/UI,P3-Low,to_do,Unified icon set throughout the application,low,,Improvements.csv,Bitcoin Investments,,
Typography Refinement,UX/UI,P3-Low,to_do,Improve readability with better type scale and spacing,low,,Improvements.csv,Bitcoin Investments,,
Form Validation UX,UX/UI,P2-Medium,to_do,Real-time validation with helpful error messages,medium,,Improvements.csv,Bitcoin Investments,,
Navigation Improvements,UX/UI,P2-Medium,to_do,Improve information architecture and navigation flow,medium,,Improvements.csv,Bitcoin Investments,,
Premium Research Reports,Monetization,P1-High,to_do,Exclusive in-depth crypto research for premium users,high,AI/Automation,Improvements.csv,Bitcoin Investments,,
Webinar Series,Monetization,P2-Medium,to_do,Live and recorded webinars for premium subscribers,high,Video hosting,Improvements.csv,Bitcoin Investments,,
API Access Tier,Monetization,P3-Low,to_do,Paid API access for developers and traders,high,,Improvements.csv,Bitcoin Investments,,
White-Label Solutions,Monetization,P3-Low,to_do,Offer platform as white-label for other businesses,high,,Improvements.csv,Bitcoin Investments,,
Sponsored Content Integration,Monetization,P2-Medium,to_do,Native advertising and sponsored articles,medium,CMS,Improvements.csv,Bitcoin Investments,,
Premium Calculator Features,Monetization,P2-Medium,to_do,Advanced calculator features for paid users,medium,,Improvements.csv,Bitcoin Investments,,
Team/Family Plans,Monetization,P3-Low,to_do,Multi-user subscription plans,medium,Stripe,Improvements.csv,Bitcoin Investments,,
Lifetime Deal Option,Monetization,P3-Low,to_do,One-time payment for lifetime access,low,Stripe,Improvements.csv,Bitcoin Investments,,
Donation/Tip Feature,Monetization,P3-Low,to_do,Allow users to support the platform voluntarily,low,Stripe,Improvements.csv,Bitcoin Investments,,
Tax Report PDF Export,Features,P1-High,to_do,Generate downloadable tax reports from portfolio data,high,Portfolio data,Improvements.csv,Bitcoin Investments,,
Multi-Portfolio Support UI,Features,P1-High,to_do,Allow users to create and manage multiple portfolios,medium,Database ready,Improvements.csv,Bitcoin Investments,,
Portfolio Sharing,Features,P2-Medium,to_do,Share portfolio view with custom privacy settings,medium,,Improvements.csv,Bitcoin Investments,,
Watchlist Feature,Features,P2-Medium,to_do,Track cryptocurrencies without adding to portfolio,medium,,Improvements.csv,Bitcoin Investments,,
Advanced Charting Tools,Features,P2-Medium,to_do,TradingView-style advanced charting with indicators,high,TradingView widget,Improvements.csv,Bitcoin Investments,,
Calendar/Events Feature,Features,P2-Medium,to_do,"Crypto events calendar (halvings, unlocks, launches)",medium,,Improvements.csv,Bitcoin Investments,,
News Personalization,Features,P2-Medium,to_do,Customize news feed based on holdings and interests,medium,,Improvements.csv,Bitcoin Investments,,
Crypto Comparison Tool,Features,P3-Low,to_do,Side-by-side comparison of any two cryptocurrencies,medium,,Improvements.csv,Bitcoin Investments,,
Recurring Buy Reminders,Features,P2-Medium,to_do,Remind users to make DCA purchases on schedule,low,,Improvements.csv,Bitcoin Investments,,
Export All Data,Features,P1-High,to_do,Allow users to export all their data (GDPR compliance),medium,,Improvements.csv,Bitcoin Investments,,
Import from Other Platforms,Features,P2-Medium,to_do,"Import portfolio data from Coinbase, Binance, etc.",high,Exchange APIs,Improvements.csv,Bitcoin Investments,,
Price Alerts Improvements,Features,P2-Medium,to_do,"Multiple conditions, percentage changes, recurring alerts",medium,Existing alerts,Improvements.csv,Bitcoin Investments,,
Internationalization (i18n),Features,P2-Medium,to_do,"Multi-language support starting with Spanish, German, French",high,i18next,Improvements.csv,Bitcoin Investments,,
Currency Localization,Features,P2-Medium,to_do,Display values in user's preferred fiat currency,medium,,Improvements.csv,Bitcoin Investments,,
Mobile App (React Native),Mobile,P2-Medium,to_do,Native mobile app for iOS and Android,high,React Native,Improvements.csv,Bitcoin Investments,,
Progressive Web App (PWA),Mobile,P1-High,to_do,Full PWA with install prompts and offline support,medium,Service Worker,Improvements.csv,Bitcoin Investments,,
Push Notifications,Mobile,P2-Medium,to_do,Mobile and web push notifications for alerts,medium,PWA,Improvements.csv,Bitcoin Investments,,
Biometric Authentication,Mobile,P3-Low,to_do,Face ID / Touch ID for mobile app,medium,Mobile App,Improvements.csv,Bitcoin Investments,,
Widget Support,Mobile,P3-Low,to_do,Home screen widgets for price and portfolio,high,Mobile App,Improvements.csv,Bitcoin Investments,,
Exchange API Integrations,Integrations,P1-High,to_do,"Connect to Coinbase, Kraken, Binance APIs directly",high,OAuth/API keys,Improvements.csv,Bitcoin Investments,,
Tax Software Deep Integration,Integrations,P1-High,to_do,"Direct export to CoinTracker, Koinly, TaxBit",medium,API partnerships,Improvements.csv,Bitcoin Investments,,
Spreadsheet Export (Excel),Integrations,P2-Medium,to_do,Enhanced Excel export with multiple sheets and formatting,low,xlsx library,Improvements.csv,Bitcoin Investments,,
Calendar App Integration,Integrations,P3-Low,to_do,"Add events to Google Calendar, Apple Calendar",low,Calendar APIs,Improvements.csv,Bitcoin Investments,,
Zapier/Make Integration,Integrations,P3-Low,to_do,Connect platform to automation tools,medium,Webhook system,Improvements.csv,Bitcoin Investments,,
Bank Connection (Plaid),Integrations,P3-Low,to_do,Link bank accounts for fiat tracking,high,Plaid API,Improvements.csv,Bitcoin Investments,,
Social Login Options,Integrations,P2-Medium,to_do,"Google, Apple, Twitter sign-in options",medium,Supabase Auth,Improvements.csv,Bitcoin Investments,,
Stripe Webhook Testing in Production,DevOps,P0-Critical,to_do,Verify all Stripe webhook handlers work in production,low,,Improvements.csv,Bitcoin Investments,,
CI/CD Pipeline Setup,DevOps,P1-High,to_do,Automated testing and deployment pipeline,medium,GitHub Actions,Improvements.csv,Bitcoin Investments,,
Environment Variable Management,DevOps,P1-High,to_do,Secure secrets management with rotation,medium,,Improvements.csv,Bitcoin Investments,,
Staging Environment,DevOps,P1-High,to_do,Separate staging environment for testing,medium,Cloudflare,Improvements.csv,Bitcoin Investments,,
Database Migration System,DevOps,P2-Medium,to_do,Versioned database migrations with rollback,medium,,Improvements.csv,Bitcoin Investments,,
Monitoring and Alerting,DevOps,P1-High,to_do,Uptime monitoring with alerts for outages,low,Uptime Robot/Better Stack,Improvements.csv,Bitcoin Investments,,
Log Aggregation,DevOps,P2-Medium,to_do,Centralized logging for debugging and analysis,medium,,Improvements.csv,Bitcoin Investments,,
Documentation Site,DevOps,P2-Medium,to_do,Developer documentation for APIs and integrations,medium,Docusaurus,Improvements.csv,Bitcoin Investments,,
Changelog/Release Notes,DevOps,P3-Low,to_do,Public changelog of updates and improvements,low,,Improvements.csv,Bitcoin Investments,,
Status Page,DevOps,P3-Low,to_do,Public status page for service health,low,Instatus/Better Stack,Improvements.csv,Bitcoin Investments,,
